Start Date,End Date,Location,Text,Link
2025-02-18 00:00:00,2025-02-18 00:00:00,"Business Design Centre, London",The Garden Press Event is the first event of the gardening year and has been the launch pad for many companies and products.,https://www.gardenpressevent.co.uk/
2024-11-15 00:00:00,2024-11-17 00:00:00,Sau Paulo Exhibition Centre,"An unmissable event for Business People, Investors, Healthcare Professionals, Researchers and Enthusiasts",https://expocannabisbrasil-com.translate.goog/?_x_tr_sl=pt&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
2024-11-27 00:00:00,2024-11-28 00:00:00,"NEC, Birmingham","The largest leading educational event in the UK for Physiotherapists, Sports Therapist’s, Osteopath’s, Chiropractors and Massage Therapist’s",https://www.therapyexpo.co.uk/
2024-04-27 23:00:00,2024-04-27 23:00:00,"Applemore Health and Leisure Centre, Claypits Lane, Dibden, Southampton",Southampton Fast Twitch Triathlon ,https://challenging.events/e/southampton-fast-twitch-8657
2024-04-20 23:00:00,2024-04-20 23:00:00,"Wood St, Stratford-upon-Avon",Come and join us for the return of the Shakespeare Marathon and Half Marathon. ,https://www.runthrough.co.uk/event/shakespeare-marathon-and-half-april-2024/
2024-04-19 23:00:00,2024-04-19 23:00:00,Carsington Water,Join us for this Half Marathon & 10k event at the stunning Carsington Water on Saturday 20th April. You will run an undulating route on trail paths around Carsington Water and soak up the epic views of the surrounding countryside.,https://www.runthrough.co.uk/event/carsington-water-half-marathon-10k-april-2024/
2024-04-20 23:00:00,2024-04-20 23:00:00,"London, United Kingdom","The London Marathon is the most popular marathon on the planet and more than one million people have completed the event since its first edition in 1981. The entire course is lined with spectators, cheering participants on every step of the way, making for a unique atmosphere and unforgettable experience.",https://www.letsdothis.com/gb/e/tcs-london-marathon-20432
2024-10-12 23:00:00,2024-10-13 23:00:00,Excel London,"Autumn's biggest beauty event, Olympia Beauty brings beauty professionals the brands, treatments and education, plus endless networking opportunities.",https://www.olympiabeauty.co.uk/
2024-04-28 23:00:00,2024-04-30 23:00:00,NEC-Birmingham,"The National Convenience Show is the biggest event for the convenience-retailing sector, providing a single platform for the whole market to come together - suppliers, wholesalers and retailers.",https://www.nationalconvenienceshow.co.uk/
2024-02-24 00:00:00,2024-02-24 00:00:00,Goodwood Racecourse,The 3rd edition of the Kingley Vale Half Marathon / Trail Run beginning and finishing at the Glorious Goodwood Racecourse,https://www.ukrunningevents.co.uk/events/trail-runs/kingley-vale-trail-run-2024
